Arron Afflalo,22,75,0.411,0.208,0.782,12.9,3.7,1.8,0.7
Blake Ahearn,23,12,0.263,0.294,0.968,14.8,5.8,1.6,1.6
Lance Allred,26,3,0.25,-1,0.5,3.3,1,0.3,0
Morris Almond,22,9,0.267,0.25,0.667,4.3,1.4,0.2,0.3
Joel Anthony,25,24,0.467,-1,0.592,20.8,3.5,3.9,0.1
Marco Belinelli,21,33,0.387,0.39,0.778,7.3,2.9,0.4,0.5
Corey Brewer,21,79,0.374,0.194,0.8,22.8,5.8,3.7,1.4
Aaron Brooks,23,51,0.413,0.33,0.857,11.9,5.2,1.1,1.7
Wilson Chandler,20,35,0.438,0.3,0.63,19.6,7.3,3.6,0.9
Mike Conley,20,53,0.428,0.33,0.732,26.1,9.4,2.6,4.2
Daequan Cook,20,59,0.381,0.332,0.825,24.4,8.8,3,1.3
Javaris Crittenton,20,50,0.421,0.27,0.692,13.6,5.6,2.2,1
Jermareo Davidson,23,38,0.408,-1,0.643,8.5,3.2,1.6,0.3
Glen Davis,22,69,0.484,-1,0.66,13.6,4.5,3,0.4
Guillermo Díaz,22,6,0.25,0,0.6,3,0.8,0.3,0.2
Jared Dudley,22,73,0.468,0.22,0.737,19,5.8,3.9,1.1
Kevin Durant,19,80,0.43,0.288,0.873,34.6,20.3,4.4,2.4
Nick Fazekas,22,26,0.561,0,0.682,10.3,4.1,3.4,0.4
Kyrylo Fesenko,21,9,0.375,-1,0.5,7.8,1.6,2.8,0.2
Thomas Gardner,22,4,0.391,0.25,0,11.3,5.3,1,0.3
Marcin Gortat,23,6,0.471,-1,0.667,6.8,3,2.7,0.3
Aaron Gray,23,61,0.505,0,0.566,10,4.3,2.8,0.7
Jeff Green,21,80,0.427,0.276,0.744,28.2,10.5,4.7,1.5
Taurean Green,21,17,0.28,0.182,0.917,4.4,1.6,0.6,0.6
Mike Harris,24,17,0.5,0,0.615,9.4,3.6,3.2,0.2
Spencer Hawes,19,71,0.459,0.19,0.655,13.1,4.7,3.2,0.6
Al Horford,21,81,0.499,0,0.731,31.4,10.1,9.7,1.5
Yi Jianlian,20,66,0.421,0.286,0.841,25,8.6,5.2,0.8
Coby Karl,24,17,0.346,0.308,0.8,4.2,1.8,0.8,0.5
Carl Landry,24,42,0.616,0,0.661,16.9,8.1,4.9,0.5
Keith Langford,24,2,0.25,-1,-1,5,1,1,0
Stéphane Lasme,25,16,0.451,-1,0.594,18.9,5.2,3.3,0.2
Acie Law,23,56,0.401,0.206,0.792,15.4,4.2,1,2
Ian Mahinmi,21,6,0.5,-1,1,3.8,3.5,0.8,0.2
Dominic McGuire,22,70,0.379,0.167,0.438,9.9,1.3,2,0.6
Josh McRoberts,20,8,0.6,0,-1,3.5,1.5,1.3,0.3
Jamario Moon,27,78,0.485,0.328,0.741,27.8,8.5,6.2,1.2
Juan Carlos Navarro,27,82,0.402,0.361,0.849,25.8,10.9,2.6,2.2
Demetris Nichols,23,14,0.261,0.231,-1,3.1,1.1,0.4,0.1
Joakim Noah,22,74,0.482,0,0.691,20.7,6.6,5.6,1.1
Oleksiy Pecherov,22,35,0.352,0.283,0.645,9.1,3.6,1.9,0.2
Kosta Perović,22,7,0.3,-1,0.667,5.4,1.4,1.9,0.1
Kasib Powell,26,11,0.368,0.242,0.667,27.6,7.6,4,1.6
Gabe Pruitt,21,15,0.359,0.25,0.5,6.3,2.1,0.5,0.9
Chris Richard,23,52,0.471,-1,0.593,10.7,1.9,2.6,0.3
Cheikh Samb,23,4,0.75,-1,0.5,7.8,1.8,1.8,0
Luis Scola,27,82,0.515,0,0.668,24.7,10.3,6.4,1.3
Ramon Sessions,21,17,0.436,0.429,0.78,26.5,8.1,3.4,7.5
Courtney Sims,24,3,0,-1,-1,3.7,0,0.7,0.3
Jason Smith,21,76,0.455,0.286,0.659,14.6,4.5,3,0.3
D.J. Strawberry,22,33,0.315,0.24,0.474,8.2,2.2,0.8,0.9
Rodney Stuckey,21,57,0.401,0.188,0.814,19,7.6,2.3,2.8
Al Thornton,24,79,0.429,0.331,0.743,27.3,12.7,4.5,1.2
Alando Tucker,23,6,0.364,0.25,0.833,8,3.7,1.3,0
Darius Washington,22,18,0.438,0.333,0.538,8.1,2.9,1.1,0.8
Darryl Watkins,23,9,0.333,-1,0.4,7.9,1.3,1.3,0
C.J. Watson,23,32,0.426,0.346,0.793,11.5,3.7,1,1.1
Mario West,23,64,0.429,0,0.654,4.2,0.9,0.8,0.2
Marcus Williams,21,11,0.25,-1,-1,3.3,0.9,1.1,0.3
Sean Williams,21,73,0.538,-1,0.609,17.5,5.6,4.4,0.4
Brandan Wright,20,38,0.554,-1,0.675,9.9,4,2.6,0.2
Julian Wright,20,57,0.533,0.417,0.635,11.2,3.9,2.1,0.7
Nick Young,22,75,0.439,0.4,0.815,15.4,7.5,1.5,0.8
Thaddeus Young,19,74,0.539,0.316,0.738,21,8.2,4.2,0.8
